,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,noprotocol,noprotocol_firsttime,noprotocol_lasttime,abracadabramoney,abracadabramoney_firsttime,abracadabramoney_lasttime,angle,angle_firsttime,angle_lasttime,stargate,stargate_firsttime,stargate_lasttime,coredao,coredao_firsttime,coredao_lasttime,harmonybridge,harmonybridge_firsttime,harmonybridge_lasttime,radiantcapital,radiantcapital_firsttime,radiantcapital_lasttime,sum_stargate_swap_usd
0,244464,2.02405E+19,33,op,1.64338661,ftm,0.15784514,1571995,17.46846339,0x3c1468659a3a287ff005b7b2a786c5649367085f,21,1,2023/6/19 22:55,2023/6/19 22:55,2,2023/6/24 0:42,2023/6/24 9:19,3,2023/6/21 23:11,2023/6/22 17:11,8,2023/6/8 21:31,2023/8/31 9:22,2,2023/6/8 21:24,2023/6/8 21:26,4,2023/6/7 18:42,2023/7/5 20:17,1,2023/6/22 20:55,2023/6/22 20:55,5038.760569
1,244463,2.02405E+19,32,op,1.64338661,ftm,0.15784514,1571994,17.46846339,0x7714a4dc25033a3a29ba1acfc20b5bf7aff00e5c,21,1,2023/6/19 22:58,2023/6/19 22:58,2,2023/6/24 0:43,2023/6/24 9:22,3,2023/6/21 23:17,2023/6/22 17:13,8,2023/6/8 22:52,2023/8/31 9:34,2,2023/6/8 22:45,2023/6/8 22:47,4,2023/6/7 18:44,2023/7/5 20:18,1,2023/6/22 20:57,2023/6/22 20:57,5037.143001
2,244462,2.02405E+19,31,op,1.64338661,ftm,0.15784514,1564700,17.59842342,0xc9e9e2edd5b372bf584e1aa19ba561d444c5e987,21,1,2023/6/19 23:01,2023/6/19 23:01,2,2023/6/24 0:44,2023/6/24 9:23,3,2023/6/21 23:21,2023/6/22 17:14,8,2023/6/8 23:38,2023/8/31 9:36,2,2023/6/8 23:30,2023/6/8 23:33,4,2023/6/7 18:46,2023/7/5 20:19,1,2023/6/22 21:01,2023/6/22 21:01,5038.626838
3,244461,2.02405E+19,30,op,1.64338661,ftm,0.15784514,1500132,18.75731864,0xad5b8e432252f11f12ea0c08436cdd02d7c8fd5b,22,1,2023/6/19 22:58,2023/6/19 22:58,2,2023/6/24 0:43,2023/6/24 9:21,3,2023/6/21 23:14,2023/6/22 17:13,9,2023/6/8 22:35,2023/8/31 9:29,2,2023/6/8 22:24,2023/6/8 22:26,4,2023/6/7 18:44,2023/7/5 20:18,1,2023/6/22 20:57,2023/6/22 20:57,5049.713664
4,244460,2.02405E+19,29,op,1.64338661,ftm,0.15784514,1500131,18.75731864,0xfcb7d46f1f16bb94b474582cca49683dbddcd0b2,22,1,2023/6/19 23:00,2023/6/19 23:00,2,2023/6/24 0:44,2023/6/24 9:22,3,2023/6/21 23:18,2023/6/22 17:14,9,2023/6/8 23:14,2023/8/31 9:34,2,2023/6/8 23:03,2023/6/8 23:06,4,2023/6/7 18:45,2023/7/5 20:19,1,2023/6/22 21:00,2023/6/22 21:00,5046.623647
5,244459,2.02405E+19,28,op,1.64338661,ftm,0.15784514,1500130,18.75731864,0x7a03c8245b0cbbea7a4e2435015a4266de15a80f,22,1,2023/6/19 22:57,2023/6/19 22:57,2,2023/6/24 0:42,2023/6/24 9:20,3,2023/6/21 23:13,2023/6/22 17:12,9,2023/6/8 22:10,2023/8/31 9:27,2,2023/6/8 22:02,2023/6/8 22:04,4,2023/6/7 18:43,2023/7/5 20:18,1,2023/6/22 20:56,2023/6/22 20:56,5049.592128
6,244458,2.02405E+19,27,op,1.64338661,ftm,0.15784514,1500129,18.75731864,0x72b8f75c845fb1e3f8a412257a153a4b6d3cef30,22,1,2023/6/19 22:56,2023/6/19 22:56,2,2023/6/24 0:42,2023/6/24 9:19,3,2023/6/21 23:12,2023/6/22 17:11,9,2023/6/8 21:52,2023/8/31 9:24,2,2023/6/8 21:45,2023/6/8 21:47,4,2023/6/7 18:43,2023/7/5 20:17,1,2023/6/22 20:55,2023/6/22 20:55,5047.603209
7,244457,2.02405E+19,26,op,1.64338661,ftm,0.15784514,1494155,18.86921326,0x573e16c339c8ec9b21c3a470a7e08c4c58ed04a8,22,1,2023/6/19 23:03,2023/6/19 23:03,2,2023/6/24 0:46,2023/6/24 9:25,3,2023/6/21 23:24,2023/6/22 17:16,9,2023/6/9 0:42,2023/8/31 9:43,2,2023/6/9 0:26,2023/6/9 0:37,4,2023/6/7 18:48,2023/7/5 20:20,1,2023/6/22 21:06,2023/6/22 21:06,5043.171331
8,244456,2.02405E+19,25,op,1.64338661,ftm,0.15784514,1494154,18.8692198,0x0407224fe7a8a6f18408689a519f323ed9be6eff,22,1,2023/6/19 23:03,2023/6/19 23:03,2,2023/6/24 0:45,2023/6/24 9:24,3,2023/6/21 23:23,2023/6/22 17:15,9,2023/6/9 0:13,2023/8/31 9:41,2,2023/6/9 0:07,2023/6/9 0:08,4,2023/6/7 18:47,2023/7/5 20:20,1,2023/6/22 21:05,2023/6/22 21:05,5046.421906
9,244455,2.02405E+19,24,op,1.64338661,ftm,0.15784514,1493194,18.88727868,0x508a388bcdd123aa3b6df0005d3b5543f5d9fea1,22,1,2023/6/19 23:02,2023/6/19 23:02,2,2023/6/24 0:45,2023/6/24 9:23,3,2023/6/21 23:22,2023/6/22 17:14,9,2023/6/8 23:55,2023/8/31 9:39,2,2023/6/8 23:48,2023/6/8 23:50,4,2023/6/7 18:46,2023/7/5 20:20,1,2023/6/22 21:02,2023/6/22 21:02,5047.959833
10,244454,2.02405E+19,23,op,1.64338661,ftm,0.15784514,1484130,19.05717983,0x82bc809b70c1c76f4eeee4ee37fdb2985e3ed3fe,26,1,2023/6/19 22:55,2023/6/19 22:55,2,2023/6/24 0:41,2023/6/24 9:18,3,2023/6/21 23:09,2023/6/22 17:10,9,2023/6/8 21:11,2023/8/31 9:20,4,2023/6/8 20:57,2023/7/10 3:19,6,2023/6/7 18:42,2023/7/10 3:23,1,2023/6/22 20:54,2023/6/22 20:54,5044.712099
11,244453,2.02405E+19,22,op,1.64338661,ftm,0.15784514,1473076,19.25866325,0xca7145393ce2870e65b9556276f92aeffa148ec0,26,1,2023/6/19 22:53,2023/6/19 22:53,2,2023/6/24 0:40,2023/6/24 9:17,3,2023/6/21 23:06,2023/6/22 17:09,9,2023/6/8 3:23,2023/8/31 8:17,4,2023/6/8 3:15,2023/7/10 2:50,6,2023/6/7 18:40,2023/7/10 2:53,1,2023/6/22 20:50,2023/6/22 20:50,12678.16987
12,244452,2.02405E+19,21,op,1.64338661,ftm,0.15784514,1473072,19.25879717,0x6f58aab21bb92af3feb3115d31f093d4769bc2f3,26,1,2023/6/19 22:46,2023/6/19 22:46,2,2023/6/24 0:37,2023/6/24 9:13,3,2023/6/21 22:57,2023/6/22 17:06,9,2023/6/8 0:48,2023/8/31 7:55,4,2023/6/8 0:40,2023/7/10 0:42,6,2023/6/7 18:36,2023/7/10 0:45,1,2023/6/22 20:41,2023/6/22 20:41,12680.85557
13,244451,2.02405E+19,20,op,1.64338661,ftm,0.15784514,1462712,19.45344666,0xb6d2feb75a881d6f5dc99f6eee37f12f70bfbbea,26,1,2023/6/19 22:42,2023/6/19 22:42,2,2023/6/24 0:35,2023/6/24 8:59,3,2023/6/21 22:49,2023/6/22 17:03,9,2023/6/7 23:18,2023/8/31 7:43,4,2023/6/7 23:11,2023/7/9 23:05,6,2023/6/7 18:33,2023/7/9 23:09,1,2023/6/22 20:35,2023/6/22 20:35,12684.74785
14,244450,2.02405E+19,19,op,1.64338661,ftm,0.15784514,1408872,20.49158987,0xd73d13eb6a7f4cdf73e4750328d0e44da88e5680,27,1,2023/6/19 22:44,2023/6/19 22:44,2,2023/6/24 0:36,2023/6/24 9:11,3,2023/6/21 22:55,2023/6/22 17:05,10,2023/6/8 0:10,2023/8/31 7:50,4,2023/6/8 0:03,2023/7/10 0:05,6,2023/6/7 18:35,2023/7/10 0:08,1,2023/6/22 20:40,2023/6/22 20:40,12690.91456
15,244449,2.02405E+19,18,op,1.64338661,ftm,0.15784514,1406972,20.52950056,0x890680fda48f46e5f2280bc61821a32bae618dc6,27,1,2023/6/19 22:50,2023/6/19 22:50,2,2023/6/24 0:39,2023/6/24 9:15,3,2023/6/21 23:03,2023/6/22 17:08,10,2023/6/8 2:17,2023/8/31 8:06,4,2023/6/8 2:10,2023/7/10 1:55,6,2023/6/7 18:38,2023/7/10 1:58,1,2023/6/22 20:46,2023/6/22 20:46,12690.21454
16,244448,2.02405E+19,17,op,1.64338661,ftm,0.15784514,1406971,20.52950344,0xe044d982807c0c1c6c99e0812b0b3b41c689218d,27,1,2023/6/19 22:51,2023/6/19 22:51,2,2023/6/24 0:39,2023/6/24 9:16,3,2023/6/21 23:04,2023/6/22 17:08,10,2023/6/8 2:39,2023/8/31 8:11,4,2023/6/8 2:32,2023/7/10 2:12,6,2023/6/7 18:39,2023/7/10 2:15,1,2023/6/22 20:46,2023/6/22 20:46,12687.74537
17,244447,2.02405E+19,16,op,1.64338661,ftm,0.15784514,1406969,20.52950942,0x432b86e55d5a54df4ad1fe8841799dbb1e7b99b4,27,1,2023/6/19 22:49,2023/6/19 22:49,2,2023/6/24 0:39,2023/6/24 9:14,3,2023/6/21 23:01,2023/6/22 17:08,10,2023/6/8 1:51,2023/8/31 8:03,4,2023/6/8 1:44,2023/7/10 1:36,6,2023/6/7 18:38,2023/7/10 1:40,1,2023/6/22 20:45,2023/6/22 20:45,12691.062
18,244446,2.02405E+19,15,op,1.64338661,ftm,0.15784514,1406968,20.52951224,0xd85c3dbd914f44d1489be06601ba7fa99e3864ad,27,1,2023/6/19 22:47,2023/6/19 22:47,2,2023/6/24 0:38,2023/6/24 9:13,3,2023/6/21 22:58,2023/6/22 17:06,10,2023/6/8 1:08,2023/8/31 7:58,4,2023/6/8 0:57,2023/7/10 0:59,6,2023/6/7 18:37,2023/7/10 1:03,1,2023/6/22 20:42,2023/6/22 20:42,12687.82483
19,244445,2.02405E+19,14,op,1.64338661,ftm,0.15784514,1406073,20.54754129,0x8e3c12d6a6732ba31eb49c317f1df6e30da0172f,27,1,2023/6/19 22:52,2023/6/19 22:52,2,2023/6/24 0:40,2023/6/24 9:16,3,2023/6/21 23:05,2023/6/22 17:09,10,2023/6/8 3:01,2023/8/31 8:13,4,2023/6/8 2:52,2023/7/10 2:29,6,2023/6/7 18:40,2023/7/10 2:32,1,2023/6/22 20:47,2023/6/22 20:47,12687.04632
20,244444,2.02405E+19,13,op,1.64338661,ftm,0.15784514,1406070,20.54760938,0x424537d5b73ff08d0ed2cb9a13cfb64f2081dcdc,27,1,2023/6/19 22:48,2023/6/19 22:48,2,2023/6/24 0:38,2023/6/24 9:14,3,2023/6/21 23:00,2023/6/22 17:07,10,2023/6/8 1:27,2023/8/31 8:00,4,2023/6/8 1:20,2023/7/10 1:18,6,2023/6/7 18:37,2023/7/10 1:22,1,2023/6/22 20:42,2023/6/22 20:42,12688.37414
21,244443,2.02405E+19,12,op,1.64338661,ftm,0.15784514,1397902,20.7071857,0x26cabbe7cef907f2ed9546cbdc4c4df8b1044b18,27,1,2023/6/19 22:41,2023/6/19 22:41,2,2023/6/24 0:35,2023/6/24 8:59,3,2023/6/21 22:48,2023/6/22 17:03,10,2023/6/7 23:02,2023/8/31 7:40,4,2023/6/7 22:51,2023/7/9 22:47,6,2023/6/7 18:32,2023/7/9 22:51,1,2023/6/22 20:35,2023/6/22 20:35,12690.37891
22,244442,2.02405E+19,11,op,1.64338661,ftm,0.15784514,1396090,20.74230192,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,27,1,2023/6/19 22:43,2023/6/19 22:43,2,2023/6/24 0:35,2023/6/24 9:43,3,2023/6/21 22:52,2023/6/22 17:04,10,2023/6/7 23:37,2023/8/31 7:45,4,2023/6/7 23:27,2023/7/9 23:26,6,2023/6/7 18:34,2023/7/9 23:29,1,2023/6/22 20:36,2023/6/22 20:36,12695.03456
23,244441,2.02405E+19,10,op,1.64338661,ftm,0.15784514,1396089,20.74230192,0x8ef6f85af7ca99ba82c13ec8e900d870b6e9aab8,27,1,2023/6/19 22:44,2023/6/19 22:44,2,2023/6/24 0:36,2023/6/24 9:11,3,2023/6/21 22:54,2023/6/22 17:05,10,2023/6/7 23:53,2023/8/31 7:48,4,2023/6/7 23:46,2023/7/9 23:45,6,2023/6/7 18:34,2023/7/9 23:49,1,2023/6/22 20:37,2023/6/22 20:37,12696.60575
24,244440,2.02405E+19,9,op,1.64338661,ftm,0.15784514,1391997,20.82041831,0xd70e32542ca84497fc50b6d3df44dd9e954370b2,27,1,2023/6/19 22:54,2023/6/19 22:54,2,2023/6/24 0:41,2023/6/24 9:17,3,2023/6/21 23:08,2023/6/22 17:10,10,2023/6/8 3:47,2023/8/31 8:19,4,2023/6/8 3:39,2023/7/10 3:04,6,2023/6/7 18:41,2023/7/10 3:08,1,2023/6/22 20:51,2023/6/22 20:51,12688.74609
25,244439,2.02405E+19,8,op,1.64338661,ftm,0.15784514,1382795,21.00172772,0x540b50faba4f791c50794c8c18679eeeba5f65c6,28,1,2023/6/19 22:45,2023/6/19 22:45,2,2023/6/24 0:37,2023/6/24 9:12,3,2023/6/21 22:56,2023/6/22 17:05,11,2023/6/8 0:31,2023/8/31 7:53,4,2023/6/8 0:20,2023/7/10 0:23,6,2023/6/7 18:35,2023/7/10 0:26,1,2023/6/22 20:41,2023/6/22 20:41,12686.60948
26,244438,2.02405E+19,7,op,1.64338661,ftm,0.15784514,1340756,21.840065,0xbd1d438124fa797b4ecac9fec2776c7d8a71451c,29,1,2023/6/19 22:38,2023/6/19 22:38,2,2023/6/24 0:33,2023/6/24 8:57,3,2023/6/21 22:44,2023/6/22 17:01,12,2023/6/7 22:00,2023/8/30 21:09,4,2023/6/7 21:53,2023/7/9 21:56,6,2023/6/7 18:28,2023/7/9 21:59,1,2023/6/22 20:33,2023/6/22 20:33,12697.26525
27,244437,2.02405E+19,6,op,1.64338661,ftm,0.15784514,1340167,21.85217293,0x2959e339d37893eb6b9a060265033a35f885d703,28,1,2023/6/19 22:40,2023/6/19 22:40,2,2023/6/24 0:34,2023/6/24 8:58,3,2023/6/21 22:46,2023/6/22 17:02,11,2023/6/7 22:43,2023/8/30 21:14,4,2023/6/7 22:32,2023/7/9 22:30,6,2023/6/7 18:32,2023/7/9 22:33,1,2023/6/22 20:34,2023/6/22 20:34,12690.64644
28,244436,2.02405E+19,5,op,1.64338661,ftm,0.15784514,1334746,21.96670111,0x8dac80645c568c7d2bb7ea2a372b691215576acb,29,1,2023/6/19 22:37,2023/6/19 22:37,2,2023/6/24 0:33,2023/6/24 8:56,3,2023/6/21 22:42,2023/6/22 17:01,12,2023/6/7 21:43,2023/8/30 21:07,4,2023/6/7 21:36,2023/7/9 21:37,6,2023/6/7 18:27,2023/7/9 21:40,1,2023/6/22 20:33,2023/6/22 20:33,12698.39036
29,244435,2.02405E+19,4,op,1.64338661,ftm,0.15784514,1314561,22.38134155,0x4cea13b09bb293f777abca42a216d65ffdcfdb8b,29,1,2023/6/19 22:40,2023/6/19 22:40,2,2023/6/24 0:34,2023/6/24 8:58,3,2023/6/21 22:46,2023/6/22 17:02,12,2023/6/7 22:23,2023/8/30 21:11,4,2023/6/7 22:12,2023/7/9 22:12,6,2023/6/7 18:28,2023/7/9 22:15,1,2023/6/22 20:34,2023/6/22 20:34,12695.22604
30,244434,2.02405E+19,3,op,1.64338661,ftm,0.15784514,1308746,22.49989023,0xfc226dcbffecdb67ab9b8b1a71d17112051dd296,30,1,2023/6/19 22:36,2023/6/19 22:36,2,2023/6/24 0:33,2023/6/24 8:56,3,2023/6/21 22:41,2023/6/22 17:00,13,2023/6/7 21:26,2023/8/30 21:04,4,2023/6/7 21:19,2023/7/9 21:21,6,2023/6/7 18:27,2023/7/9 21:24,1,2023/6/22 20:32,2023/6/22 20:32,12696.55449
31,244433,2.02405E+19,2,op,1.64338661,ftm,0.15784514,1297173,22.7431,0x62cb651b949036e547be3e50b402583df9be3204,30,1,2023/6/19 22:35,2023/6/19 22:35,2,2023/6/24 0:32,2023/6/24 8:55,3,2023/6/21 22:40,2023/6/22 17:00,13,2023/6/7 21:10,2023/8/30 21:01,4,2023/6/7 21:03,2023/7/9 21:05,6,2023/6/7 18:26,2023/7/9 21:08,1,2023/6/22 20:31,2023/6/22 20:31,12701.83989
32,244432,2.02405E+19,1,op,1.64338661,ftm,0.15784514,1171854,25.5698104,0x2adff24d14c8950f149d7c131a311f7f55516c3f,29,1,2023/6/19 22:35,2023/6/19 22:35,2,2023/6/24 0:32,2023/6/24 8:54,3,2023/6/21 22:38,2023/6/22 16:59,12,2023/6/7 19:57,2023/8/31 9:46,4,2023/6/7 19:50,2023/7/9 20:49,6,2023/6/7 18:25,2023/7/9 20:53,1,2023/6/22 20:31,2023/6/22 20:31,12696.16379
