,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,aptosbridge,aptosbridge_firsttime,aptosbridge_lasttime,stargate,stargate_firsttime,stargate_lasttime,omnix,omnix_firsttime,omnix_lasttime,sum_stargate_swap_usd
0,272407,2.02405E+19,20,op,5.27761672,matic,0.66333844,1492024,18.90935343,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,16,1,2024/3/17 10:34,2024/3/17 10:34,14,2023/4/6 4:11,2024/3/19 11:50,1,2024/1/6 12:57,2024/1/6 12:57,10515.61327
1,272406,2.02405E+19,19,op,5.27761672,matic,0.66333844,1492023,18.90935343,0x904a12abf8ea7dfb43d1774701cfb9d475c48dd3,16,1,2024/3/17 11:58,2024/3/17 11:58,14,2023/4/6 4:26,2024/3/19 11:51,1,2024/1/6 12:58,2024/1/6 12:58,10490.64783
2,272405,2.02405E+19,18,op,5.27761672,matic,0.66333844,1492022,18.90935343,0xc34f3ce784b4576cdb9292ef3803be0f68bb9c63,16,1,2024/3/17 16:43,2024/3/17 16:43,14,2023/4/6 4:39,2024/3/19 11:53,1,2024/1/6 12:59,2024/1/6 12:59,10533.62305
3,272404,2.02405E+19,17,op,5.27761672,matic,0.66333844,1492021,18.90935343,0xccdbfed9eb0aeb70de93dab99a7adedb6b811ecb,16,1,2024/3/17 11:40,2024/3/17 11:40,14,2023/4/6 4:23,2024/3/19 11:51,1,2024/1/6 12:58,2024/1/6 12:58,10535.45808
4,272403,2.02405E+19,16,op,5.27761672,matic,0.66333844,1492020,18.90935343,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,16,1,2024/3/17 16:58,2024/3/17 16:58,14,2023/4/6 4:42,2024/3/19 11:53,1,2024/1/6 12:59,2024/1/6 12:59,10501.37373
5,272402,2.02405E+19,15,op,5.27761672,matic,0.66333844,1492019,18.90935343,0xd9b126ff79cc36288fa192129f65351d71104255,16,1,2024/3/17 10:49,2024/3/17 10:49,14,2023/4/6 4:14,2024/3/19 11:50,1,2024/1/6 12:57,2024/1/6 12:57,10595.89708
6,272401,2.02405E+19,14,op,5.27761672,matic,0.66333844,1492018,18.90935343,0x4f80851f7d0754562e626cfa76823ebe01ec6781,16,1,2024/3/17 11:31,2024/3/17 11:31,14,2023/4/6 4:21,2024/3/19 11:51,1,2024/1/6 12:57,2024/1/6 12:57,10517.55672
7,272400,2.02405E+19,13,op,5.27761672,matic,0.66333844,1492017,18.90935343,0xced99590cedb991e1880edcc45fa2a8d9d5465fa,16,1,2024/3/17 11:22,2024/3/17 11:22,14,2023/4/6 4:20,2024/3/19 11:51,1,2024/1/6 12:57,2024/1/6 12:57,10545.30221
8,272399,2.02405E+19,12,op,5.27761672,matic,0.66333844,1492016,18.90935343,0xd57f4a4eaa44c1d9d008429fed8bd1925dbf774c,16,1,2024/3/17 11:49,2024/3/17 11:49,14,2023/4/6 4:25,2024/3/19 11:51,1,2024/1/6 12:58,2024/1/6 12:58,10572.73312
9,272398,2.02405E+19,11,op,5.27761672,matic,0.66333844,1492015,18.90935343,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,16,1,2024/3/17 16:35,2024/3/17 16:35,14,2023/4/6 4:37,2024/3/19 11:52,1,2024/1/6 12:59,2024/1/6 12:59,10477.21947
10,272397,2.02405E+19,10,op,5.27761672,matic,0.66333844,1492014,18.90935343,0xae54299a952b12ef7cec069e7291cbaa21b34189,16,1,2024/3/17 11:14,2024/3/17 11:14,14,2023/4/6 4:18,2024/3/19 11:51,1,2024/1/6 12:57,2024/1/6 12:57,10493.52602
11,272396,2.02405E+19,9,op,5.27761672,matic,0.66333844,1492013,18.90935343,0x6a9bea733be7000827fef64f42c5969a953d1225,16,1,2024/3/17 16:50,2024/3/17 16:50,14,2023/4/6 4:41,2024/3/19 11:53,1,2024/1/6 12:59,2024/1/6 12:59,10569.61095
12,272395,2.02405E+19,8,op,5.27761672,matic,0.66333844,1492012,18.90935343,0x8d11ff99d1f0f186f6b2e598162b336506df7604,16,1,2024/3/17 12:16,2024/3/17 12:16,14,2023/4/6 4:29,2024/3/19 11:52,1,2024/1/6 12:58,2024/1/6 12:58,10544.97679
13,272394,2.02405E+19,7,op,5.27761672,matic,0.66333844,1492011,18.90935343,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,16,1,2024/3/17 10:58,2024/3/17 10:58,14,2023/4/6 4:15,2024/3/19 11:50,1,2024/1/6 12:57,2024/1/6 12:57,10509.39431
14,272393,2.02405E+19,6,op,5.27761672,matic,0.66333844,1492010,18.90935343,0x5e611c6547dbfaf9f8b03855b08170e691282a40,16,1,2024/3/17 11:07,2024/3/17 11:07,14,2023/4/6 4:17,2024/3/19 11:50,1,2024/1/6 12:57,2024/1/6 12:57,10553.77722
15,272392,2.02405E+19,5,op,5.27761672,matic,0.66333844,1492009,18.90935343,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,16,1,2024/3/17 10:42,2024/3/17 10:42,14,2023/4/6 4:13,2024/3/19 11:50,1,2024/1/6 12:57,2024/1/6 12:57,10564.89867
16,272391,2.02405E+19,4,op,5.27761672,matic,0.66333844,1492008,18.90935343,0x892254a671bc572b4f0d6717d5f513c435ef711d,16,1,2024/3/17 12:34,2024/3/17 12:34,14,2023/4/6 4:33,2024/3/19 11:52,1,2024/1/6 12:58,2024/1/6 12:58,10480.23956
17,272390,2.02405E+19,3,op,5.27761672,matic,0.66333844,1492007,18.90935343,0xd1ff4cf8f0528e3b5348f2c5870a3e58b08aecac,16,1,2024/3/17 12:07,2024/3/17 12:07,14,2023/4/6 4:28,2024/3/19 11:52,1,2024/1/6 12:58,2024/1/6 12:58,10514.30352
18,272389,2.02405E+19,2,op,5.27761672,matic,0.66333844,1492006,18.90935343,0x6d4bf9ceaa58ea8c545c4fecc58da0a7e65627e5,16,1,2024/3/17 12:25,2024/3/17 12:25,14,2023/4/6 4:31,2024/3/19 11:52,1,2024/1/6 12:58,2024/1/6 12:58,10540.52213
19,272388,2.02405E+19,1,op,5.27761672,matic,0.66333844,1492005,18.90935343,0x935041d6acfe09e52978158d802a0c6e907f9fe1,16,1,2024/3/17 13:35,2024/3/17 13:35,14,2023/4/6 4:35,2024/3/19 11:52,1,2024/1/6 12:59,2024/1/6 12:59,10492.91036
