address,tx_count,first_relate_chain,second_relate_chain,stargate_tx_count,stargate_firsttime,stargate_lasttime,coredao,coredao_firsttime,coredao_lasttime,sum_stargate_swap_usd
0x7b486bff54fd52341edf2ff6a36a1d730ad43998,4,arb,avax,4,2023/5/9 9:58,2023/5/14 1:53,,,,374.7673844
0x729c44a3930b339b967056d2591b4d31df08c171,4,arb,avax,4,2023/5/9 10:00,2023/5/14 1:56,,,,374.7098878
0x2c84f60a46d74074d403df7b1681f1cb48df8360,4,arb,avax,4,2023/5/9 9:42,2023/5/14 1:29,,,,374.8114106
0xf0b83cbb542718533dec598b9dec95117faf141d,4,arb,avax,4,2023/5/9 9:40,2023/5/14 1:26,,,,374.9491035
0xbe0d96e06d6f191c026ed91417c72c04254b3d4e,4,arb,avax,4,2023/5/9 9:44,2023/5/14 1:32,,,,374.9497511
0x7528c11face18a59e45675e65fabaab3e068128f,4,arb,avax,4,2023/5/9 9:41,2023/5/14 1:28,,,,375.1272436
0x390ed44de7f2954667a50c31dc72b7dec9e3b9d0,4,arb,avax,4,2023/5/9 9:48,2023/5/14 1:39,,,,374.876957
0x874c2c53dde88ca5d0b7e61ddf6c008008343e05,4,arb,avax,4,2023/5/9 9:51,2023/5/14 1:43,,,,375.0191652
0xb3f92f4c26576ffeeec77b7344440e1fd57cbdaa,4,arb,avax,4,2023/5/9 9:40,2023/5/14 1:26,,,,374.7635005
0x709f56420791c332e92fbb50e572dd6077003f75,4,arb,avax,4,2023/5/9 9:44,2023/5/14 1:32,,,,374.946936
0x54492adadafc8a09a4886fb5acb9138293aa6430,4,arb,avax,4,2023/5/9 9:46,2023/5/14 1:35,,,,374.8993875
0xdec59b26d663f1518c7fb5c1d69e23207ea88d9e,4,arb,avax,4,2023/5/9 9:45,2023/5/14 1:33,,,,374.9482527
0xc6fbc5659e23cfbd61ff5d970007f7087f32f2db,4,arb,avax,4,2023/5/9 9:49,2023/5/14 1:39,,,,374.8769901
0xc8975d9db50e13ea462edad9edbda3f0f14b1da1,4,arb,avax,4,2023/5/9 9:48,2023/5/14 1:38,,,,374.8791373
0x7d28f51c6d5a532c6f2d34dcf3ea265701eb82c4,4,arb,avax,4,2023/5/9 9:42,2023/5/14 1:29,,,,374.8412852
0x63be86e74857502c3b0e47bc36ae4f2f14ab5596,4,arb,avax,4,2023/5/9 9:47,2023/5/14 1:37,,,,374.8799381
0x2d60fb838854a378188e645d10d0f087d25ae26e,4,arb,avax,4,2023/5/9 9:52,2023/5/14 1:44,,,,374.8723029
0x5601a2fc169743a9a2e4f4200c25fd236a277f08,4,arb,avax,4,2023/5/9 9:45,2023/5/14 1:34,,,,374.8836637
0x110b9dae59004791a240ddc385a0ed71591a9b31,4,arb,avax,4,2023/5/9 9:49,2023/5/14 1:40,,,,374.8785969
0xc6fbde889fa4ac4eba98dfcbfe75a915db1c59ff,4,arb,avax,4,2023/5/9 9:39,2023/5/14 1:25,,,,374.4841575
0x84dbabf51a3d7e9fac799ec06aa1b8112bf3f97b,4,arb,avax,4,2023/5/9 9:51,2023/5/14 1:43,,,,374.8745423
0x4169795245703b3803affe88b11c8d6311abc89e,4,arb,avax,4,2023/5/9 10:07,2023/5/14 1:57,,,,374.7636704
0x2c39fbd7b784fd1bfaa7ff5e9500b01925909f7a,4,arb,avax,4,2023/5/9 9:53,2023/5/14 1:46,,,,374.8306239
0x0fa4350a345f9244bdbfc8e7c4e9175022cd60cd,4,arb,avax,4,2023/5/9 9:53,2023/5/14 1:46,,,,374.830442
0x29a251c2cfea7b0e36f59b70507fb0a11bf7e99b,4,arb,avax,4,2023/5/9 9:54,2023/5/14 8:29,,,,374.8311619
0xa67ff39701306220cdf10ff13b5d8c843e983cfb,4,arb,avax,4,2023/5/9 9:57,2023/5/14 1:52,,,,374.7376346
0xdffdc356959bddd40f8a5d1f9dcd075f018685b9,4,arb,avax,4,2023/5/9 10:05,2023/5/14 1:37,,,,374.8801251
0x99374cc0db07f64b7b110f1cb6d7bbd67c79f984,4,arb,avax,4,2023/5/9 9:48,2023/5/14 1:38,,,,374.8770728
0x4d84b680b42be81eadca48424150d32d7f92bbc4,4,arb,avax,4,2023/5/9 9:45,2023/5/14 1:34,,,,373.9035828
0x2fde3e0b57d610ca2ca2e1b76e6e2fa4e3de54f7,4,arb,avax,4,2023/5/9 9:38,2023/5/14 1:23,,,,374.4785714
0x7b9bc8258696273f5c777c8467b3b614ced61358,4,arb,avax,4,2023/5/9 9:41,2023/5/14 1:27,,,,374.8415127
0x00196e9caf273a64cd1911e18ffe1a96b0113f4c,4,arb,avax,4,2023/5/9 9:50,2023/5/14 1:42,,,,374.8748732
0xf8115005b81208e3ea165a668dc6cdde7a3bc4d1,4,arb,avax,4,2023/5/9 9:46,2023/5/14 1:36,,,,374.8824181
0x2c0e8841bca8530f639bf396310806152730354a,4,arb,avax,4,2023/5/9 9:46,2023/5/14 1:35,,,,374.856679
0x290cee761cd6c1ec6fef092edd63b78815fadade,4,arb,avax,4,2023/5/9 9:56,2023/5/14 1:50,,,,374.7510494
0xde01c4d821573a92d0eb2df68be7fa68af4e71e8,4,arb,avax,4,2023/5/9 9:55,2023/5/14 8:30,,,,374.8857422
0x8af4bf6364945a92b7859851fb710f54f4ca2b65,4,arb,avax,4,2023/5/9 9:57,2023/5/14 1:52,,,,374.7369648
0xa393ee223523b3201ab9831c3f5ca29a62417e11,4,arb,avax,4,2023/5/9 9:59,2023/5/14 1:54,,,,374.6641818
0x74b636fef8c6fed83732dec3ec5e65a5a7837c60,4,arb,avax,4,2023/5/9 9:59,2023/5/14 1:55,,,,374.6452112
0xd992807e270fedcf91ad7458b4c1692dfdbe8222,4,arb,avax,4,2023/5/9 9:53,2023/5/14 1:45,,,,374.7886523
0x1f277aaccc68872beacfdba5a545a9e319734b9f,4,arb,avax,4,2023/5/9 9:38,2023/5/14 1:24,,,,374.4526494
0x60584e77abb33c3623187a4d3acd06bc1876321e,4,arb,avax,4,2023/5/9 9:39,2023/5/14 1:24,,,,374.4503058
0xe387549913167b6ddfb3766d410cb78e9ef3cde3,4,arb,avax,4,2023/5/9 9:43,2023/5/14 1:31,,,,373.7681063
0xd0c5d5b637f19dad1abad2834c98fbc13ba3f8f8,4,arb,avax,4,2023/5/9 9:37,2023/5/14 8:27,,,,374.416739
0xd711ed1f9d1b57cd0ea6db34673ecafbbd2dc64b,4,arb,avax,4,2023/5/9 9:40,2023/5/14 1:27,,,,374.8677371
0x3ad7de8502cef1e1dd72db5306e48216ce83316e,4,arb,avax,4,2023/5/9 9:41,2023/5/14 1:28,,,,374.814227
0x22b9603c19c956874f9eadd81a6c7e26375c11dd,4,arb,avax,4,2023/5/9 9:50,2023/5/14 1:41,,,,374.8515005
0x59e008af1859b134fb38b4d5ddfcbabe8b9348e9,4,arb,avax,4,2023/5/9 9:52,2023/5/14 1:45,,,,374.8027898
0xb715599cc0bd452f3c0005ca79a69dc477ae8021,4,arb,avax,4,2023/5/9 9:50,2023/5/14 1:41,,,,374.8527147
0xb3ce1c64e148e49ef81c3112c4775c42784cb0dc,4,arb,avax,4,2023/5/9 9:52,2023/5/14 1:44,,,,374.8483443
0x87d23fb76401871f1912de966996aad4ca515913,4,arb,avax,4,2023/5/9 9:59,2023/5/14 1:55,,,,374.6807267
0x3f68ce97c92fa1aec78b02f046489e6ccfc45d22,4,arb,avax,4,2023/5/9 9:56,2023/5/14 1:51,,,,374.7131781
0xe186cf00eb0e929b84e15b317e422047a5d69031,4,arb,avax,4,2023/5/9 9:51,2023/5/14 1:42,,,,374.8487651
0x7dcd2d70a90eb33f26713e562a145f234c05570a,4,arb,avax,4,2023/5/9 9:44,2023/5/14 1:33,,,,374.8710545
0x2584449f6343b0b36c7af79f1cd55c72af5546c6,4,arb,avax,4,2023/5/9 9:43,2023/5/14 1:31,,,,374.9199397
0x416d0b761f18c013ad9bf2d2ad4591cea53329b6,4,arb,avax,4,2023/5/9 9:42,2023/5/14 1:30,,,,374.8954099
0x274afcffd6733242d0b7c2698eb30069aa5ffe1d,4,arb,avax,4,2023/5/9 10:06,2023/5/14 1:56,,,,374.7214085
0xe3269ba0b52d414bdcac0027591e9eb1326fa7cb,4,arb,avax,4,2023/5/9 9:57,2023/5/14 1:51,,,,374.6713429
0x39d80b7259ce738cdd0cf58b023fd99c79a3a522,4,arb,avax,4,2023/5/9 9:56,2023/5/14 1:50,,,,375.1195854
0x96d803d77c5ffa80b4e7f79922e7bb1f4bbfebd6,4,arb,avax,4,2023/5/9 9:54,2023/5/14 8:28,,,,374.8064031
0xcf21b93609d807d28a5bd799facb129526b9a276,4,arb,avax,4,2023/5/9 10:06,2023/5/14 1:54,,,,374.6614987
0xc167e343e911fc13927f72a54e6c5eeeadd82c94,4,arb,avax,4,2023/5/9 9:47,2023/5/14 1:36,,,,374.8064556
0x25161097c2e6bb330159f78c40016cb9476b1474,4,arb,avax,4,2023/5/9 9:49,2023/5/14 1:40,,,,375.0290542
0x3e6e1b553396c9b6883ba7e09cd11c8643485057,4,arb,avax,4,2023/5/9 10:06,2023/5/14 8:29,,,,374.7601957
0x328feed121cf615ff3136c8dcf24d366b5e1feb3,4,arb,avax,4,2023/5/9 9:55,2023/5/14 1:49,,,,374.6791619
0x26dc1ed66b601cefb2981fed427c31fb960f7156,4,arb,avax,4,2023/5/9 9:39,2023/5/14 8:27,,,,374.3981702
0xe16051678e2e3f06ebfc87342008308ab8442988,4,arb,avax,4,2023/5/9 9:58,2023/5/14 1:53,,,,374.6497338
0x2fd183027b465ebc213ea99934fc35f810373f53,4,arb,avax,4,2023/5/9 9:38,2023/5/14 1:23,,,,374.3848377
